ID RAdeg DEdeg i-mag X-flag g-flag r-flag i-flag z-flag n-corr z r_z ID-COSMOS2015 bibcode flag_magellean z_magellean flag_deimos z_deimos flag_sdss z_sdss
104 150.382 2.75838 21.2 1 1 1 1 1 6 1.2281 0 958682 2009ApJ...696.1195T True 1.2281 False -1.0 False -1.0
105 150.38285 2.72363 22.35 1 1 1 1 1 6 2.0465 1 937194 "HSC miscellaneous" True 2.0518 False -1.0 False -1.0
106 150.40154 2.7908 21.38 1 1 1 1 1 6 0.918411 1 979571 "HSC miscellaneous" True 0.92 False -1.0 False -1.0
107 150.40562 2.72326 23.02 1 1 1 1 1 6 1.266 0 937001 2009ApJ...696.1195T True 1.266 False -1.0 False -1.0
108 150.36187 2.77911 22.54 1 1 1 1 1 6 2.548625 1 971246 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
109 150.31993 1.68158 19.78 1 1 1 1 1 6 2.054655 1 263032 "HSC miscellaneous" False -1.0 False -1.0 True 2.054655
110 150.27997 1.74387 22.05 1 1 1 1 1 6 0.7621 1 301078 "HSC miscellaneous" True -1.0 False -1.0 False -1.0
111 150.25926 1.75729 21.5 1 1 1 1 1 4 0.9645 1 310302 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
112 150.26243 1.75146 23.25 1 1 1 1 1 3 1.6758153 1 305868 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
113 150.30622 1.87518 23.31 1 1 1 1 1 6 1.755 1 383817 "HSC miscellaneous" False -1.0 True 1.755 False -1.0
114 150.33866 1.92814 22.89 1 1 1 1 1 6 1.6113573 1 418204 "HSC miscellaneous" False -1.0 True 1.61 False -1.0
115 150.30889 1.91231 21.57 1 1 1 1 1 6 1.514957 1 407780 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
116 150.22779 1.78686 22.54 1 1 1 1 1 6 1.6788466 1 328963 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
117 150.24252 1.76643 20.63 1 1 1 1 1 6 0.6222 1 316931 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
118 150.21027 1.85386 22.06 1 1 1 1 1 6 0.934 3 370490 2016ApJ...817...34M False -1.0 False -1.0 False -1.0
119 150.24519 1.90011 20.01 1 1 1 1 1 6 1.560692 1 400930 "HSC miscellaneous" False -1.0 False -1.0 True 1.560018
120 150.20823 1.87538 20.52 1 1 1 1 1 6 1.1487 1 386177 "HSC miscellaneous" True 1.1563 False -1.0 True 1.146491
121 150.24309 1.86912 20.58 1 1 1 1 1 6 2.022416 1 381137 "HSC miscellaneous" True 2.0283 False -1.0 False -1.0
122 150.16179 1.87796 21.98 1 1 1 1 1 6 1.444 1 388379 "HSC miscellaneous" False -1.0 True 1.444 False -1.0
123 150.31193 2.03575 20.77 1 1 1 1 1 5 0.97 1 486067 "HSC miscellaneous" True 0.969 True 0.97 False -1.0
124 150.25342 1.99661 21.93 1 1 1 1 1 6 1.171 1 460918 "HSC miscellaneous" True 1.1645 True 1.171 False -1.0
125 150.31186 1.97795 21.72 1 1 1 1 1 6 2.3508954 1 448282 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
126 150.28566 2.01459 21.2 1 1 1 1 1 6 2.6694 1 471767 "HSC miscellaneous" True 2.6807 False -1.0 False -1.0
127 150.32425 2.08908 22.62 1 1 1 1 1 6 1.0733103 1 519096 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
128 150.33439 2.06147 20.17 1 1 1 1 1 6 0.9026051 1 502241 "HSC miscellaneous" False -1.0 False -1.0 True 0.9026645
129 150.30691 2.05384 23.6 1 1 1 1 1 4 2.017 1 495819 "HSC miscellaneous" False -1.0 True 2.017 False -1.0
130 150.21637 1.98874 21.34 1 1 1 1 1 6 2.2298 1 455603 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
131 150.18074 2.07598 22.87 1 1 1 1 1 6 3.01 3 510871 2016ApJ...817...34M True 3.01 False -1.0 False -1.0
132 150.27217 2.23009 21.02 1 1 1 1 1 6 2.612085 1 613543 "HSC miscellaneous" True 2.6145 False -1.0 True 2.611786
133 150.30261 2.16108 20.23 1 1 1 1 1 6 1.8175 1 567121 "HSC miscellaneous" True 1.8221 True 1.82 False -1.0
134 150.31652 2.24678 21.62 1 1 1 1 1 6 2.478972 1 624239 "HSC miscellaneous" False -1.0 False -1.0 True 2.478675
135 150.26234 2.25638 23.36 1 1 1 1 1 5 1.776 3 629991 2016ApJ...817...34M False -1.0 False -1.0 False -1.0
136 150.15843 2.13957 20.14 1 1 1 1 1 6 1.829505 1 553928 "HSC miscellaneous" True 1.8347 True 1.825 True 1.80656
137 150.18004 2.23128 23.63 1 1 1 1 1 6 1.40008 1 613328 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
138 150.21469 2.20427 20.7 1 1 1 1 1 6 1.8398 1 595487 "HSC miscellaneous" True 1.8291 False -1.0 False -1.0
139 150.19979 2.19085 20.92 1 1 1 1 1 6 1.9289 1 586685 "HSC miscellaneous" True 1.5145 False -1.0 False -1.0
140 150.23628 2.28913 21.36 1 1 1 1 1 6 2.077 1 652010 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
141 150.25427 2.33061 22.72 1 1 1 1 1 6 2.4581 1 679413 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
142 150.25271 2.48638 21.15 1 1 1 1 1 6 2.0424242 1 782462 "HSC miscellaneous" True 2.0413 False -1.0 False -1.0
143 150.30809 2.43003 20.25 1 1 1 1 1 6 0.3729016 1 747724 "HSC miscellaneous" False -1.0 False -1.0 True 0.3729405
144 150.29976 2.50687 21.03 1 1 1 1 1 6 1.5029482 1 795729 "HSC miscellaneous" True 1.4999 False -1.0 False -1.0
145 150.17401 2.40295 22.54 1 1 1 1 1 5 1.7592 1 728847 "HSC miscellaneous" True 0.9793 False -1.0 False -1.0
