 ID     RAdeg   DEdeg i-mag X-flag g-flag r-flag i-flag z-flag n-corr ID-COSMOS2015           z z_phot       z0          z1    z2   z3    z4    z5 r_z r_z0 r_z1 r_z4
=== ========= ======= ===== ====== ====== ====== ====== ====== ====== ============= =========== ====== ======== =========== ===== ==== ===== ===== === ==== ==== ====
 61 150.40096 1.91198 21.06      1      1      1      1      1      6        408043      2.2806   2.23   2.2806   2.2816794  -1.0 2.23  2.28  -1.0   0    3    9    1
 62 150.40767  1.8677 22.53      1      1      1      1      1      6        379110      0.3935   1.84     -1.0      0.3935  -1.0 1.84 0.068  -1.0   1   -1    6    1
 63 150.44602 2.04351 20.82      1      1      1      1      1      6        491067      1.1713   1.11   1.1713      1.1706  -1.0 1.11 1.173  -1.0   0    1    1    1
 64 150.44368  2.0491 20.11      1      1      1      1      1      6        494577     0.66876   0.67  0.66876   0.6687679  -1.0 0.67 0.669  -1.0   0   10    3    1
 65 150.35307 1.96079  21.3      1      1      1      1      1      6        438137       1.896   2.25     -1.0       1.896  -1.0 2.25 1.166  -1.0   1   -1    6    1
 66 150.42256 2.01415 21.79      1      1      1      1      1      6        471626      2.2699   2.25   2.2699      2.2684  -1.0 2.25 2.268  -1.0   0    3    1    1
 67 150.41577  1.9678  22.7      1      1      1      1      1      6        443133       1.221   1.09    1.221        -1.0  -1.0 1.09 1.121  -1.0   0   18   -1    1
 68 150.41834 2.08515 20.08      1      1      1      1      1      6        518166     0.42428   0.09  0.42428    0.424219  -1.0 0.09 0.424  -1.0   0   20    3    1
 69  150.4354 2.14277 21.53      1      1      1      1      1      6        555407      0.9671   0.97     -1.0      0.9671  -1.0 0.97 0.979  -1.0   1   -1    1    1
 70 150.45184 2.14481 20.64      1      1      1      1      1      6        556169      1.2969   1.76     -1.0      1.2969  -1.0 1.76 1.305  -1.0   1   -1    1    1
 71 150.48437 2.16202 21.84      1      1      1      1      1      6        566857      1.6411   -1.0   1.6411      1.6377  -1.0 -1.0 1.638  -1.0   0    3    1    1
 72 150.52619 2.24496 21.02      1      1      1      1      1      6        623618      1.2711   -1.0   1.2711      1.2713  -1.0 -1.0 1.271  -1.0   0    3    1    1
 73  150.4496 2.24643 20.67      1      1      1      1      1      6        624526   0.8806778   -1.0     -1.0   0.8806778  -1.0 -1.0 0.885  -1.0   1   -1    3    1
 74 150.47953 2.25312 21.69      1      1      1      1      1      6        629377       0.866   0.85    0.866      0.0603  -1.0 0.85 0.875  -1.0   0    1    1    1
 75 150.51907 2.32098 22.24      1      1      1      1      1      6        673948      1.8281   1.16   1.8281       1.836  -1.0 1.16 1.836 1.836   0    3    6    3
 76 150.34244 2.22624 21.71      1      1      1      1      1      6        610703      0.8913   0.85   0.8913   1.5563668  -1.0 0.85 0.894  -1.0   0    3    7    1
 77 150.36472  2.1438 23.24      1      1      1      1      1      6        554731       3.328   3.31     -1.0       3.328  -1.0 3.31 3.328 3.328   1   -1    6    3
 78 150.37824 2.19636 22.49      1      1      1      1      1      6        590258      1.5101   1.53   1.5101       1.512  -1.0 1.53 1.521  -1.0   0    3    6    1
 79 150.34592 2.14752 20.74      1      1      1      1      1      6        558958       1.253   1.84    1.253      1.2564  -1.0 1.84 1.259  -1.0   0   17    3    1
 80 150.41585 2.17521 23.63      1      1      1      1      1      6        576066      1.3875   1.48   1.3875      1.3875 1.387 1.48 1.387  -1.0   0   18    6    2
 81 150.42223 2.17535 20.94      1      1      1      1      1      6        576870       0.982    0.9    0.982       0.979  -1.0  0.9 0.979 0.979   0    3    6    3
 82 150.36671 2.30535 21.58      1      1      1      1      1      6        662467      1.1874   -1.0   1.1874      1.1773  -1.0 -1.0 1.177  -1.0   0    3    9    1
 83 150.37463  2.3102 23.05      1      1      1      1      1      6        665457        -1.0   -1.0     -1.0        -1.0  -1.0 -1.0 2.151  -1.0  -1   -1   -1    3
 84 150.34993 2.24609 20.82      1      1      1      1      1      6        623908      0.8936    0.3   0.8936      0.8949  -1.0  0.3 0.891  -1.0   0    3    1    1
 85 150.43817 2.41581 20.49      1      1      1      1      1      6        738308      2.0318   -1.0   2.0318       2.025  -1.0 -1.0 2.026  -1.0   0    3    6    1
 86 150.44442 2.36977 21.49      1      1      1      1      1      6        707186      0.8913   0.87   0.8913      0.8907  -1.0 0.87 0.891  -1.0   0    1    1    1
 87 150.49565 2.41256 21.62      1      1      1      1      1      6        734723      1.3686   -1.0   1.3686   0.9792782  -1.0 -1.0 1.369  -1.0   0    3    7    1
 88 150.45037 2.38809 23.01      1      1      1      1      1      3        719419        -1.0   -1.0     -1.0        -1.0  -1.0 -1.0 1.075  -1.0  -1   -1   -1    3
 89 150.51157 2.40961 20.99      1      1      1      1      1      6        733581      0.9877   -1.0   0.9877   0.9862742  -1.0 -1.0 0.985  -1.0   0    3    3    1
 90 150.52672 2.38468 22.37      1      1      1      1      1      6        717885      1.2995   0.32   1.2995  0.42066365  -1.0 0.32 0.421  -1.0   0    3    9    1
