HSC-z r_HSC-z SIMBAD-z bib_SIMBAD-z name
0.744 spec 0.7517 2009ApJ...696.1195T "SDSS J095938.55+023316.7"
2.185 spec 2.19332 2015ApJS..219...12A "SDSS J095930.20+024124.8"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
1.778 spec 1.7793 2012ApJS..203...21A "[VV2006] J095942.1+024103"
0.845 spec 1.7977 2009ApJ...696.1195T "ACS-GC 20155847"
0.0 none 0.0 ------------------- ""
2.152 phot 2.152 2018ApJ...858...77H "ACS-GC 20155453"
0.991 spec 0.4311 2009ApJ...696.1195T "ACS-GC 20155524"
2.098 spec 2.0819 2007ApJS..172...70L "SDSS J095913.90+023844.4"
3.845 phot 3.748 2018ApJ...869...20B "COSMOS2015 895446"
1.782 phot 0.4682 2009ApJ...696.1195T "ACS-GC 20309260"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
1.214 spec 1.2138 2009ApJ...696.1195T "ACS-GC 20048747"
2.927 spec 2.9393 2009ApJ...696.1195T "[VV2006] J095835.9+015156"
0.0 none 0.0 ------------------- ""
2.684 spec 2.6864 2007ApJS..172...70L "ACS-GC 20075517"
2.448 spec 2.4536 2009ApJ...696.1195T "[VV2006] J095858.7+020138"
0.0 none 0.0 ------------------- ""
1.972 phot 1.97 2018ApJ...858...77H "COSMOS2015 545954"
1.22 spec 1.22 2009ApJ...696.1195T "2XMM J095839.2+020507"
0.339 spec 0.3386 2009ApJ...696.1195T "SDSS J095840.32+020807.2"
1.024 spec 1.0243 2009ApJ...696.1195T "[VV2006] J095857.3+021314"
0.0 none 0.0 ------------------- ""
0.727 spec 0.73 2009ApJ...696.1195T "SDSS J095849.51+021640.4"
0.675 spec 0.6761 2007ApJS..172...70L "ACS-GC 20101298"
0.944 spec 0.5368 2009ApJ...696.1195T "ACS-GC 20101074"
1.028 spec 1.0266 2009ApJ...696.1195T "SDSS J095840.03+021711.0"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
1.32 spec 1.32 2018ApJ...858...77H "ACS-GC 20276165"
1.515 spec 1.5174 2009ApJ...696.1195T "2XMM J095847.7+022629"
1.118 spec 1.1221 2009ApJ...696.1195T "SDSS J095849.39+022511.1"
0.0 none 0.0 ------------------- ""
0.276 spec 4.17 2009ApJ...696.1195T "COSMOS 2042408"
2.017 phot 2.017 2018ApJ...858...77H "ACS-GC 20131543"
2.005 spec 2.005 2018ApJ...858...77H "ACS-GC 20132448"
1.167 spec 1.1673 2007ApJS..172...70L "ACS-GC 20130119"
0.692 spec 0.691 2009ApJ...696.1195T "ACS-GC 20160356"
1.541 spec 1.5512 2009ApJ...696.1195T "[VV2006] J095848.9+023441"
1.776 spec 1.7715 2009ApJ...696.1195T "ACS-GC 20158217"
1.743 spec 1.7295 2009ApJ...696.1195T "ACS-GC 20159317"
0.734 spec 0.733 2009ApJ...696.1195T "SDSS J095837.37+023602.9"
2.084 phot 2.084 2018ApJ...858...77H "ACS-GC 20186666"
2.059 phot 2.059 2018ApJ...858...77H "ACS-GC 20311078"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
2.798 spec 2.808 2018A&A...613A..51P "SDSS J095817.63+020125.0"
0.565 spec 0.565 2018ApJ...858...77H "ACS-GC 20078047"
1.684 spec 1.6793 2009ApJ...696.1195T "SDSS J095815.51+015840.3"
1.482 phot 1.482 2018ApJ...858...77H "ACS-GC 20078376"
0.0 none 0.0 ------------------- ""
1.225 spec 1.2256 2007ApJS..172...70L "ACS-GC 20076905"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.732 spec 0.7308 2007ApJS..172...70L "SDSS J095817.53+021938.4"
0.0 none 0.0 ------------------- ""
0.796 spec 0.7953 2009ApJ...696.1195T "ACS-GC 20137831"
0.0 none 0.0 ------------------- ""
0.843 phot 0.9626 2018ApJS..239...27S "ACS-GC 20056914"
0.614 spec 0.6212 2009ApJ...696.1195T "SDSS J100141.08+021259.9"
1.514 phot 1.5142 2009ApJ...696.1195T "ACS-GC 20111457"
1.106 spec 1.126 2018ApJ...858...77H "ACS-GC 20168493"
2.93 phot 2.93 2018ApJ...858...77H "COSMOS2015 311121"
0.0 none 0.0 ------------------- ""
2.234 spec 0.7284 2009ApJ...696.1195T "ACS-GC 20174487"
0.0 none 0.0 ------------------- ""
1.143 spec 1.182 2018ApJ...858...77H "ACS-GC 20066314"
0.0 none 0.0 ------------------- ""
1.182 spec 1.182 2018ApJ...858...77H "COSMOS2015 880531"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
3.363 spec 3.363 2018ApJ...858...77H "ACS-GC 20157089"
0.697 spec 0.6981 2009ApJ...696.1195T "ACS-GC 20153793"
1.541 phot 1.539 2009ApJ...696.1195T "ACS-GC 20156200"
0.0 none 0.0 ------------------- ""
0.68 spec 0.6776 2007ApJS..172...70L "[ICS2009] 824885"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.525 spec 0.5277 2009ApJ...696.1195T "2XMM J100118.5+015542"
0.831 spec 0.8645 2009ApJ...696.1195T "ACS-GC 20037182"
0.0 none 0.0 ------------------- ""
